country,cause,DALYs,pct_of_total_DALYs,DALYs_per_100K
Nepal,Other infectious diseases,228266.7027,0.025352788,763.6502694
Kenya,Unintentional injuries,556772.8789,0.031164771,1152.100185
Japan,Chronic respiratory diseases,1354109.015,0.03861348,1054.903906
Uruguay,Other non-communicable diseases,47861.19118,0.046960153,1398.823629
Uruguay,Skin and subcutaneous diseases,21751.91281,0.021281121,635.7361544
Niger,HIV/AIDS and sexually transmitted infections,139712.3587,0.010679604,653.5961489
Niger,Respiratory infections and tuberculosis,1708255.148,0.130154404,7991.483329
Niger,Enteric infections,1968049.651,0.149910957,9206.842434
Niger,Other infectious diseases,1145009.093,0.087166892,5356.530664
Niger,Maternal and neonatal disorders,1641022.822,0.124971323,7676.960052
Azerbaijan,HIV/AIDS and sexually transmitted infections,5036.519316,0.00155879,49.25681353
Azerbaijan,Respiratory infections and tuberculosis,247189.2991,0.076636251,2417.494394
Azerbaijan,Enteric infections,25975.87783,0.008037287,254.0423039
Azerbaijan,Other infectious diseases,33465.96742,0.010372661,327.2948664
Azerbaijan,Maternal and neonatal disorders,234232.1098,0.072588379,2290.773971
Azerbaijan,Substance use disorders,54011.26925,0.016718553,528.2265094
Morocco,Neurological disorders,542607.5837,0.052377106,1528.949466
Morocco,Sense organ diseases,256674.9614,0.024715921,723.2538888
Morocco,Cardiovascular diseases,2462669.416,0.238452374,6939.263661
N. Mariana Is.,Musculoskeletal disorders,890.7849758,0.072837136,1984.896682
N. Mariana Is.,Other non-communicable diseases,445.8491305,0.036536767,993.4658576
Thailand,Chronic respiratory diseases,686676.8954,0.035184135,972.271241
Saint Lucia,Skin and subcutaneous diseases,1153.426308,0.02288761,653.5939573
Saint Lucia,Sense organ diseases,1489.205987,0.029517863,843.8649507
eSwatini,Chronic respiratory diseases,14695.60951,0.025498417,1306.932126
eSwatini,Other non-communicable diseases,16219.77244,0.028117914,1442.481284
Uruguay,Self-harm and interpersonal violence,39853.2396,0.039214803,1164.777806
eSwatini,HIV/AIDS and sexually transmitted infections,157591.7139,0.273514669,14015.18416
Zimbabwe,Nutritional deficiencies,313022.3926,0.04480627,2127.413475
Thailand,Transport injuries,1129474.636,0.057901197,1599.23206
Thailand,Unintentional injuries,702980.4731,0.036045325,995.3556053
Azerbaijan,Neglected tropical diseases and malaria,4161.470264,0.001283836,40.69889381
Zimbabwe,Chronic respiratory diseases,174027.1619,0.024959837,1182.75158
Zimbabwe,Other non-communicable diseases,238449.9888,0.034135228,1620.592428
Zimbabwe,Skin and subcutaneous diseases,97445.26426,0.013935424,662.2732852
Morocco,Unintentional injuries,389980.1536,0.037684805,1098.878758
Nepal,Cardiovascular diseases,1153568.609,0.128157662,3859.183002
Nepal,Chronic respiratory diseases,671250.3638,0.074558657,2245.621088
Brunei,HIV/AIDS and sexually transmitted infections,344.4568163,0.003568255,79.65226778
