country,cause,deaths,pct_of_total_deaths,deaths_per_100K
Turkmenistan,Maternal and neonatal disorders,1129.142521,0.034199472,22.68774424
Turkmenistan,Substance use disorders,211.3943529,0.006407106,4.247524936
Uzbekistan,Cardiovascular diseases,115263.0105,0.561520017,357.5499749
Malta,Neurological disorders,415.9612401,0.104219686,95.73940624
Malta,HIV/AIDS and sexually transmitted infections,1.784905728,0.00044737,0.410821485
Somalia,Neglected tropical diseases and malaria,2034.87676,0.01395912,12.05468115
Philippines,Cardiovascular diseases,217552.2756,0.32630983,210.2551208
Philippines,Chronic respiratory diseases,33060.83657,0.049592159,31.95190751
Brunei,Chronic respiratory diseases,97.23683272,0.051859922,22.48506597
Brunei,Self-harm and interpersonal violence,33.88434077,0.018071791,7.835422199
Somalia,Musculoskeletal disorders,158.030172,0.001085758,0.93617627
Somalia,Other non-communicable diseases,4005.608899,0.027477141,23.72936732
Somalia,Skin and subcutaneous diseases,162.5835176,0.001114844,0.963150449
Somalia,Transport injuries,5537.47538,0.037965808,32.80419796
Netherlands,Musculoskeletal disorders,604.5899307,0.003975884,3.55033453
Netherlands,Other non-communicable diseases,3062.566292,0.020141124,17.98431351
Netherlands,Skin and subcutaneous diseases,618.4691976,0.004066408,3.631837774
Turkmenistan,Diabetes and kidney diseases,1335.810873,0.040491089,26.84031013
Brunei,Neglected tropical diseases and malaria,1.571351555,0.000838035,0.363359669
India,Mental disorders,15.40206685,1.55E-06,0.001115639
Bahrain,Chronic respiratory diseases,113.8823171,0.034237306,7.745132676
Mauritania,Chronic respiratory diseases,599.7427127,0.029919087,15.32331971
Mauritania,Self-harm and interpersonal violence,308.8191707,0.015403251,7.890274923
Bhutan,HIV/AIDS and sexually transmitted infections,91.18441476,0.022125428,9.524069211
Bhutan,Respiratory infections and tuberculosis,245.3266828,0.059274155,25.62398753
Bhutan,Enteric infections,150.4943445,0.03637238,15.71889842
India,Cardiovascular diseases,2632779.776,0.265685162,190.7037066
India,Neglected tropical diseases and malaria,81764.80607,0.008251185,5.922581041
Mauritania,Mental disorders,0.018351777,9.15E-07,0.000468885
Mauritania,HIV/AIDS and sexually transmitted infections,221.0222112,0.010994633,5.647078213
Mauritania,Respiratory infections and tuberculosis,2438.438939,0.121627343,62.30168149
Mauritania,Enteric infections,1658.9815,0.082696668,42.38668247
Mauritania,Other infectious diseases,610.5172761,0.030432325,15.59860789
Mauritania,Maternal and neonatal disorders,2507.42091,0.125068601,64.06415859
Philippines,Self-harm and interpersonal violence,22692.31897,0.034020724,21.93117151
Uzbekistan,Musculoskeletal disorders,209.8654815,0.001022207,0.651010218
Uzbekistan,Other non-communicable diseases,2789.095181,0.013594545,8.651872855
Netherlands,Mental disorders,6.742756928,4.43E-05,0.039595504
Netherlands,HIV/AIDS and sexually transmitted infections,61.83170897,0.000406819,0.363094455
Netherlands,Respiratory infections and tuberculosis,6280.233814,0.041304226,36.87942825
Netherlands,Enteric infections,360.7620371,0.00237236,2.118503555
Netherlands,Other infectious diseases,385.5723911,0.002535385,2.264197441
Netherlands,Maternal and neonatal disorders,331.3442948,0.002179674,1.945753694
Turkmenistan,Neurological disorders,1330.288722,0.040333947,26.72935413
Bhutan,Other infectious diseases,86.2982135,0.020857952,9.013713148
Bhutan,Maternal and neonatal disorders,233.1687439,0.056434331,24.35410986
Bhutan,Substance use disorders,17.04759134,0.004110755,1.780594197
Bhutan,Diabetes and kidney diseases,256.9538487,0.062063419,26.83842678
Uzbekistan,Nutritional deficiencies,50.08275749,0.000243989,0.155358502
Turkmenistan,Mental disorders,0.176943984,5.36E-06,0.003555317
Algeria,HIV/AIDS and sexually transmitted infections,380.4251621,0.002267253,0.940164097
Algeria,Respiratory infections and tuberculosis,5142.280615,0.030623186,12.70838023
Algeria,Enteric infections,512.8771672,0.003053859,1.267499489
Algeria,Other infectious diseases,1145.347278,0.00681994,2.830555116
Algeria,Maternal and neonatal disorders,7141.47098,0.042514842,17.6490813
Algeria,Substance use disorders,1141.011346,0.006795328,2.819839506
Algeria,Diabetes and kidney diseases,9795.019989,0.058337379,24.20693224
Bahrain,Neoplasms,552.6334745,0.16613488,37.58458461
Bahrain,Musculoskeletal disorders,10.02839937,0.003015867,0.682031114
Bahrain,Other non-communicable diseases,162.9692667,0.049019111,11.08353452
Guyana,HIV/AIDS and sexually transmitted infections,202.4954738,0.036501623,27.27938013
Guyana,Respiratory infections and tuberculosis,297.1580251,0.05345834,40.03194035
Guyana,Enteric infections,47.26566429,0.008503088,6.367441204
Guyana,Other infectious diseases,28.09931804,0.005053694,3.785427713
